,S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,TRADES_COUNT,DISCOUNT_RATE,OPDATE,OPMODE
973,159915.SZ,20111209,0.795,0.814,0.795,0.797,1061772.33,85143.979,0.81,0.795,0.814,0.795,0.797,1.0,1620.0,-0.3127,2011-12-09 15:07:22,0
206,159915.SZ,20111212,0.79,0.803,0.79,0.79,311065.09,24856.6952,0.797,0.79,0.803,0.79,0.79,1.0,924.0,-0.2147,2011-12-12 15:07:12,0
1493,159915.SZ,20111213,0.788,0.788,0.763,0.768,967443.68,74527.4886,0.79,0.788,0.788,0.763,0.768,1.0,1713.0,-0.3115,2011-12-13 15:07:08,0
1105,159915.SZ,20111214,0.768,0.777,0.755,0.76,816094.68,62820.1826,0.768,0.768,0.777,0.755,0.76,1.0,972.0,0.3168,2011-12-14 15:07:05,0
281,159915.SZ,20111215,0.755,0.764,0.747,0.752,417005.01,31372.8896,0.76,0.755,0.764,0.747,0.752,1.0,1092.0,0.4542,2011-12-15 15:07:07,0
1484,159915.SZ,20111216,0.75,0.784,0.748,0.781,829384.39,63512.9938,0.752,0.75,0.784,0.748,0.781,1.0,1317.0,0.1154,2011-12-16 15:07:05,0
1345,159915.SZ,20111219,0.775,0.795,0.766,0.795,1068735.2,83155.2775,0.781,0.775,0.795,0.766,0.795,1.0,1734.0,0.0755,2011-12-19 15:07:24,0
648,159915.SZ,20111220,0.795,0.8,0.78,0.78,651991.86,51697.415,0.795,0.795,0.8,0.78,0.78,1.0,1520.0,-0.3322,2011-12-20 15:07:03,0
296,159915.SZ,20111221,0.786,0.791,0.766,0.766,485425.46,37964.7903,0.78,0.786,0.791,0.766,0.766,1.0,1082.0,0.4063,2011-12-21 15:07:29,0
589,159915.SZ,20111222,0.756,0.768,0.73,0.757,709384.09,53194.489,0.766,0.756,0.768,0.73,0.757,1.0,1726.0,-0.3292,2011-12-22 15:07:20,0
1051,159915.SZ,20111223,0.75,0.773,0.749,0.761,1013603.17,77374.0547,0.757,0.75,0.773,0.749,0.761,1.0,1384.0,-0.2621,2011-12-23 15:08:07,0
950,159915.SZ,20111226,0.759,0.773,0.751,0.755,456854.75,34883.8359,0.761,0.759,0.773,0.751,0.755,1.0,1008.0,0.0398,2011-12-26 15:07:57,0
256,159915.SZ,20111227,0.75,0.754,0.727,0.729,1099159.71,81111.9219,0.755,0.75,0.754,0.727,0.729,1.0,1589.0,-0.0411,2011-12-27 15:08:11,0
697,159915.SZ,20111228,0.72,0.724,0.703,0.719,1157038.77,82723.7089,0.729,0.72,0.724,0.703,0.719,1.0,1805.0,-0.125,2011-12-28 15:07:26,0
968,159915.SZ,20111229,0.713,0.726,0.711,0.718,339720.47,24384.4699,0.719,0.713,0.726,0.711,0.718,1.0,969.0,-0.1113,2011-12-29 15:27:41,0
1667,159915.SZ,20111230,0.723,0.732,0.722,0.729,772575.22,56350.4103,0.718,0.723,0.732,0.722,0.729,1.0,1225.0,-0.3554,2011-12-30 15:07:25,0
370,159915.SZ,20120104,0.735,0.739,0.708,0.708,360493.53,26238.6066,0.729,0.735,0.739,0.708,0.708,1.0,1065.0,-0.141,2012-01-04 15:07:16,0
619,159915.SZ,20120105,0.705,0.705,0.666,0.672,663822.16,45442.4602,0.708,0.705,0.705,0.666,0.672,1.0,2133.0,0.4034,2012-01-05 15:07:24,0
900,159915.SZ,20120106,0.668,0.676,0.647,0.67,1387940.86,91888.7868,0.672,0.668,0.676,0.647,0.67,1.0,2612.0,-0.2234,2012-01-06 15:07:41,0
1533,159915.SZ,20120109,0.667,0.698,0.658,0.696,1778470.65,121144.4051,0.67,0.667,0.698,0.658,0.696,1.0,2484.0,0.1007,2012-01-09 15:07:11,0
1601,159915.SZ,20120110,0.696,0.722,0.691,0.72,755561.35,53514.9333,0.696,0.696,0.722,0.691,0.72,1.0,2042.0,0.0973,2012-01-10 15:07:42,0
1265,159915.SZ,20120111,0.717,0.731,0.711,0.723,1259413.78,90911.698,0.72,0.717,0.731,0.711,0.723,1.0,2015.0,0.3191,2012-01-11 15:08:51,0
702,159915.SZ,20120112,0.717,0.73,0.71,0.711,798386.2,57588.9416,0.723,0.717,0.73,0.71,0.711,1.0,1419.0,-0.2385,2012-01-12 15:07:53,0
1390,159915.SZ,20120113,0.709,0.711,0.666,0.668,2112041.12,144361.2682,0.711,0.709,0.711,0.666,0.668,1.0,2846.0,-0.1345,2012-01-13 15:07:37,0
433,159915.SZ,20120116,0.656,0.66,0.635,0.635,925035.48,60088.8615,0.668,0.656,0.66,0.635,0.635,1.0,2164.0,-0.2827,2012-01-16 15:08:30,0
37,159915.SZ,20120117,0.635,0.67,0.627,0.666,2269982.58,148188.8162,0.635,0.635,0.67,0.627,0.666,1.0,2807.0,0.0751,2012-01-17 15:07:30,0
223,159915.SZ,20120118,0.665,0.669,0.624,0.624,877041.56,56889.7233,0.666,0.665,0.669,0.624,0.624,1.0,2725.0,-0.6053,2012-01-18 15:07:45,0
188,159915.SZ,20120119,0.619,0.639,0.615,0.635,1010846.32,63936.7429,0.624,0.619,0.639,0.615,0.635,1.0,2222.0,-0.0944,2012-01-19 15:07:14,0
1231,159915.SZ,20120120,0.634,0.653,0.634,0.648,1076398.98,69456.704,0.635,0.634,0.653,0.634,0.648,1.0,2188.0,-0.1848,2012-01-20 15:10:24,0
360,159915.SZ,20120130,0.649,0.663,0.645,0.655,923796.98,60531.0239,0.648,0.649,0.663,0.645,0.655,1.0,2021.0,0.1682,2012-01-30 15:09:57,0
1627,159915.SZ,20120131,0.652,0.655,0.638,0.65,620032.53,40008.3957,0.655,0.652,0.655,0.638,0.65,1.0,1233.0,-0.2149,2012-01-31 15:09:59,0
870,159915.SZ,20120201,0.651,0.666,0.648,0.653,1507847.65,99015.0403,0.65,0.651,0.666,0.648,0.653,1.0,1683.0,-0.0765,2012-02-01 15:10:07,0
1498,159915.SZ,20120202,0.654,0.67,0.653,0.67,738967.36,48864.4617,0.653,0.654,0.67,0.653,0.67,1.0,1313.0,0.2994,2012-02-02 15:10:43,0
767,159915.SZ,20120203,0.669,0.685,0.664,0.682,1039458.54,70136.4803,0.67,0.669,0.685,0.664,0.682,1.0,1811.0,-0.0879,2012-02-03 15:10:10,0
319,159915.SZ,20120206,0.683,0.693,0.683,0.69,1299405.92,89274.2131,0.682,0.683,0.693,0.683,0.69,1.0,1922.0,0.1451,2012-02-06 15:09:51,0
947,159915.SZ,20120207,0.683,0.685,0.671,0.675,1092322.72,73984.413,0.69,0.683,0.685,0.671,0.675,1.0,2124.0,-0.1775,2012-02-07 15:10:03,0
1249,159915.SZ,20120208,0.677,0.697,0.671,0.696,2008554.4,138357.147,0.675,0.677,0.697,0.671,0.696,1.0,1971.0,0.1727,2012-02-08 15:10:17,0
363,159915.SZ,20120209,0.694,0.708,0.693,0.701,1164092.9,81658.8261,0.696,0.694,0.708,0.693,0.701,1.0,1717.0,0.1143,2012-02-09 15:10:15,0
679,159915.SZ,20120210,0.7,0.708,0.695,0.701,1130998.53,79364.3683,0.701,0.7,0.708,0.695,0.701,1.0,1387.0,-0.0428,2012-02-10 15:10:31,0
230,159915.SZ,20120213,0.694,0.721,0.691,0.718,1172846.67,83228.1305,0.701,0.694,0.721,0.691,0.718,1.0,1736.0,0.0976,2012-02-13 15:10:19,0
1004,159915.SZ,20120214,0.715,0.719,0.708,0.715,580792.39,41446.5103,0.718,0.715,0.719,0.708,0.715,1.0,1249.0,0.042,2012-02-14 15:10:54,0
543,159915.SZ,20120215,0.714,0.727,0.708,0.726,791498.52,56890.8998,0.715,0.714,0.727,0.708,0.726,1.0,1330.0,-0.1513,2012-02-15 15:10:06,0
1449,159915.SZ,20120216,0.723,0.734,0.715,0.723,500557.25,36292.6326,0.726,0.723,0.734,0.715,0.723,1.0,1436.0,-0.1519,2012-02-16 15:10:48,0
176,159915.SZ,20120217,0.726,0.728,0.71,0.719,679877.78,48817.0255,0.723,0.726,0.728,0.71,0.719,1.0,1116.0,-0.1528,2012-02-17 15:09:50,0
82,159915.SZ,20120220,0.725,0.734,0.722,0.723,391839.56,28510.2204,0.719,0.725,0.734,0.722,0.723,1.0,1052.0,-0.0415,2012-02-20 15:09:45,0
1272,159915.SZ,20120221,0.721,0.739,0.716,0.738,773069.37,56310.9613,0.723,0.721,0.739,0.716,0.738,1.0,1416.0,-0.1488,2012-02-21 15:10:15,0
580,159915.SZ,20120222,0.738,0.767,0.737,0.762,1931576.52,145668.2292,0.738,0.738,0.767,0.737,0.762,1.0,2781.0,0.0394,2012-02-22 15:10:36,0
958,159915.SZ,20120223,0.765,0.768,0.75,0.76,1242342.94,94457.3624,0.762,0.765,0.768,0.75,0.76,1.0,2155.0,0.1318,2012-02-23 15:10:03,0
591,159915.SZ,20120224,0.758,0.768,0.755,0.764,1364450.93,103963.5508,0.76,0.758,0.768,0.755,0.764,1.0,2903.0,-0.0523,2012-02-24 15:10:51,0
571,159915.SZ,20120227,0.764,0.774,0.761,0.763,1102134.97,84590.3314,0.764,0.764,0.774,0.761,0.763,1.0,1712.0,0.0787,2012-02-27 15:09:57,0
465,159915.SZ,20120228,0.758,0.759,0.74,0.75,938066.68,70379.3129,0.763,0.758,0.759,0.74,0.75,1.0,1812.0,0.0267,2012-02-28 15:10:51,0
625,159915.SZ,20120229,0.745,0.751,0.734,0.737,827837.45,61373.415,0.75,0.745,0.751,0.734,0.737,1.0,1615.0,-0.0136,2012-02-29 15:10:00,0
387,159915.SZ,20120301,0.733,0.75,0.733,0.743,825474.19,61405.4315,0.737,0.733,0.75,0.733,0.743,1.0,1301.0,-0.2551,2012-03-01 15:10:16,0
1294,159915.SZ,20120302,0.744,0.759,0.743,0.759,645976.55,48707.2047,0.743,0.744,0.759,0.743,0.759,1.0,1307.0,-0.0395,2012-03-02 15:13:54,0
1534,159915.SZ,20120305,0.76,0.769,0.758,0.761,471584.13,36037.263,0.759,0.76,0.769,0.758,0.761,1.0,1146.0,-0.0263,2012-03-05 15:10:58,0
1175,159915.SZ,20120306,0.756,0.76,0.744,0.752,541517.25,40655.3351,0.761,0.756,0.76,0.744,0.752,1.0,1029.0,-0.093,2012-03-06 15:10:39,0
1102,159915.SZ,20120307,0.743,0.761,0.74,0.749,613844.82,46156.9612,0.752,0.743,0.761,0.74,0.749,1.0,1079.0,-0.2796,2012-03-07 15:10:36,0
1253,159915.SZ,20120308,0.75,0.766,0.75,0.765,401791.8,30555.1418,0.749,0.75,0.766,0.75,0.765,1.0,1072.0,0.2096,2012-03-08 15:10:11,0
1479,159915.SZ,20120309,0.767,0.78,0.765,0.779,1229444.79,95119.5835,0.765,0.767,0.78,0.765,0.779,1.0,1492.0,-0.0385,2012-03-09 15:10:18,0
1060,159915.SZ,20120312,0.783,0.787,0.779,0.786,1078037.75,84349.756,0.779,0.783,0.787,0.779,0.786,1.0,1911.0,-0.2285,2012-03-12 15:10:37,0
780,159915.SZ,20120313,0.787,0.794,0.783,0.793,353074.91,27843.7206,0.786,0.787,0.794,0.783,0.793,1.0,906.0,-0.1259,2012-03-13 15:09:51,0
1559,159915.SZ,20120314,0.8,0.802,0.751,0.756,1256207.08,97200.5485,0.793,0.8,0.802,0.751,0.756,1.0,2183.0,-0.2902,2012-03-14 15:10:45,0
860,159915.SZ,20120315,0.759,0.762,0.735,0.747,1291505.97,96567.651,0.756,0.759,0.762,0.735,0.747,1.0,2301.0,-0.1604,2012-03-15 15:13:22,0
335,159915.SZ,20120316,0.749,0.769,0.747,0.767,983076.29,74565.3768,0.747,0.749,0.769,0.747,0.767,1.0,1540.0,-0.0261,2012-03-16 15:10:36,0
665,159915.SZ,20120319,0.764,0.783,0.763,0.78,654365.59,50532.5421,0.767,0.764,0.783,0.763,0.78,1.0,1291.0,-0.128,2012-03-19 15:11:14,0
1570,159915.SZ,20120320,0.775,0.776,0.755,0.756,890518.65,68206.1248,0.78,0.775,0.776,0.755,0.756,1.0,1399.0,-0.1585,2012-03-20 15:10:22,0
1031,159915.SZ,20120321,0.759,0.763,0.738,0.75,681998.54,50961.5565,0.756,0.759,0.763,0.738,0.75,1.0,1410.0,-0.4513,2012-03-21 15:10:12,0
1360,159915.SZ,20120322,0.75,0.759,0.743,0.752,513535.88,38611.8328,0.75,0.75,0.759,0.743,0.752,1.0,919.0,-0.0664,2012-03-22 15:10:42,0
1080,159915.SZ,20120323,0.75,0.752,0.735,0.74,776488.4,57804.2795,0.752,0.75,0.752,0.735,0.74,1.0,1438.0,0.0541,2012-03-23 15:10:41,0
55,159915.SZ,20120326,0.738,0.744,0.732,0.739,215877.64,15910.6694,0.74,0.738,0.744,0.732,0.739,1.0,651.0,0.0135,2012-03-26 15:11:17,0
394,159915.SZ,20120327,0.746,0.748,0.735,0.737,372738.52,27699.8419,0.739,0.746,0.748,0.735,0.737,1.0,864.0,-0.0678,2012-03-27 15:10:24,0
1447,159915.SZ,20120328,0.733,0.733,0.699,0.7,462982.74,32966.5954,0.737,0.733,0.733,0.699,0.7,1.0,2016.0,-0.0856,2012-03-28 15:10:23,0
1130,159915.SZ,20120329,0.698,0.698,0.678,0.686,643974.61,44421.6779,0.7,0.698,0.698,0.678,0.686,1.0,1618.0,-0.0583,2012-03-29 15:13:56,0
1730,159915.SZ,20120330,0.686,0.69,0.677,0.683,278797.06,19028.3359,0.686,0.686,0.69,0.677,0.683,1.0,1126.0,0.2642,2012-03-30 15:10:23,0
289,159915.SZ,20120405,0.68,0.702,0.678,0.701,648609.4,44924.0709,0.683,0.68,0.702,0.678,0.701,1.0,1504.0,0.1143,2012-04-05 15:10:40,0
938,159915.SZ,20120406,0.7,0.708,0.695,0.703,505092.88,35485.5924,0.701,0.7,0.708,0.695,0.703,1.0,1093.0,-0.1704,2012-04-06 15:12:52,0
1303,159915.SZ,20120409,0.701,0.705,0.691,0.691,255383.68,17836.9891,0.703,0.701,0.705,0.691,0.691,1.0,764.0,-0.2166,2012-04-09 15:10:34,0
1045,159915.SZ,20120410,0.691,0.701,0.675,0.7,432217.25,29705.7022,0.691,0.691,0.701,0.675,0.7,1.0,1102.0,0.0286,2012-04-10 15:11:34,0
1326,159915.SZ,20120411,0.69,0.704,0.688,0.701,405369.54,28306.9419,0.7,0.69,0.704,0.688,0.701,1.0,925.0,-0.0428,2012-04-11 15:11:20,0
135,159915.SZ,20120412,0.701,0.718,0.699,0.718,713463.32,50714.4076,0.701,0.701,0.718,0.699,0.718,1.0,1358.0,0.3073,2012-04-12 15:10:25,0
649,159915.SZ,20120413,0.719,0.728,0.716,0.722,635922.46,45925.3759,0.718,0.719,0.728,0.716,0.722,1.0,1271.0,0.0416,2012-04-13 15:11:06,0
422,159915.SZ,20120416,0.715,0.723,0.713,0.719,370351.97,26581.6197,0.722,0.715,0.723,0.713,0.719,1.0,829.0,0.0,2012-04-16 15:10:30,0
1184,159915.SZ,20120417,0.719,0.721,0.708,0.71,350163.44,24975.1193,0.719,0.719,0.721,0.708,0.71,1.0,762.0,-0.2949,2012-04-17 15:10:19,0
353,159915.SZ,20120418,0.713,0.73,0.712,0.728,1247346.98,90213.5459,0.71,0.713,0.73,0.712,0.728,1.0,1602.0,0.2341,2012-04-18 15:11:25,0
62,159915.SZ,20120419,0.726,0.732,0.724,0.728,618379.06,45105.5245,0.728,0.726,0.732,0.724,0.728,1.0,911.0,0.0,2012-04-19 15:10:45,0
880,159915.SZ,20120420,0.726,0.732,0.723,0.729,546081.49,39793.4849,0.728,0.726,0.732,0.723,0.729,1.0,999.0,-0.3418,2012-04-20 15:10:36,0
1096,159915.SZ,20120423,0.725,0.725,0.686,0.686,1416033.64,98936.1643,0.729,0.725,0.725,0.686,0.686,1.0,2729.0,-1.0815,2012-04-23 15:10:42,0
653,159915.SZ,20120424,0.681,0.691,0.664,0.683,682601.12,46442.4627,0.686,0.681,0.691,0.664,0.683,1.0,2105.0,-0.2483,2012-04-24 15:10:19,0
315,159915.SZ,20120425,0.681,0.688,0.676,0.684,349221.39,23827.828,0.683,0.681,0.688,0.676,0.684,1.0,1110.0,-0.2334,2012-04-25 15:10:35,0
