,S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,TRADES_COUNT,DISCOUNT_RATE,OPDATE,OPMODE
672,518880.SH,20130729,2.633,2.64,2.614,2.626,1404335.77,369215.419,2.649,2.633,2.64,2.614,2.626,1.0,10117.0,-0.6432,2013-07-29 15:07:11,0
772,518880.SH,20130730,2.632,2.648,2.632,2.646,929931.09,245720.397,2.626,2.632,2.648,2.632,2.646,1.0,4938.0,0.1893,2013-07-30 15:07:25,0
1116,518880.SH,20130731,2.643,2.659,2.64,2.657,699761.56,185580.104,2.646,2.643,2.659,2.64,2.657,1.0,4558.0,0.0,2013-07-31 15:07:49,0
825,518880.SH,20130801,2.653,2.656,2.635,2.643,300064.38,79324.519,2.657,2.653,2.656,2.635,2.643,1.0,2836.0,-0.0378,2013-08-01 15:08:18,0
126,518880.SH,20130802,2.63,2.632,2.558,2.578,330218.91,85778.129,2.643,2.63,2.632,2.558,2.578,1.0,3924.0,-0.1936,2013-08-02 15:07:50,0
1254,518880.SH,20130805,2.621,2.642,2.621,2.63,240120.32,63166.351,2.578,2.621,2.642,2.621,2.63,1.0,2223.0,-0.1898,2013-08-05 15:07:36,0
642,518880.SH,20130806,2.62,2.62,2.586,2.591,223360.52,58084.51,2.63,2.62,2.62,2.586,2.591,1.0,2086.0,-0.3078,2013-08-06 15:07:07,0
849,518880.SH,20130807,2.562,2.582,2.56,2.574,195018.57,50050.021,2.591,2.562,2.582,2.56,2.574,1.0,1884.0,0.1167,2013-08-07 15:08:10,0
453,518880.SH,20130808,2.588,2.597,2.583,2.586,126268.96,32693.272,2.574,2.588,2.597,2.583,2.586,1.0,1214.0,-0.1544,2013-08-08 15:08:22,0
1299,518880.SH,20130809,2.625,2.63,2.611,2.616,132137.95,34637.968,2.586,2.625,2.63,2.611,2.616,1.0,1389.0,-0.2288,2013-08-09 15:07:08,0
478,518880.SH,20130812,2.656,2.66,2.649,2.659,199163.6,52878.978,2.616,2.656,2.66,2.649,2.659,1.0,1813.0,-0.3,2013-08-12 15:07:20,0
237,518880.SH,20130813,2.662,2.68,2.658,2.675,147181.6,39244.984,2.659,2.662,2.68,2.658,2.675,1.0,1223.0,-0.1493,2013-08-13 15:07:18,0
546,518880.SH,20130814,2.64,2.652,2.637,2.64,111303.51,29422.493,2.675,2.64,2.652,2.637,2.64,1.0,876.0,-0.2645,2013-08-14 15:07:54,0
