,S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,TRADES_COUNT,DISCOUNT_RATE,OPDATE,OPMODE
1405,159920.SZ,20121022,0.98,1.0,0.979,0.996,5197012.88,516499.6128,1.006,0.98,1.0,0.979,0.996,1.0,10005.0,-1.3471,2012-10-22 15:11:58,0
884,159920.SZ,20121023,0.996,0.996,0.988,0.99,1148264.94,113765.2652,0.996,0.996,0.996,0.988,0.99,1.0,2127.0,-2.0868,2012-10-23 15:10:57,0
471,159920.SZ,20121024,0.982,1.001,0.982,0.998,2227113.4,222184.5044,0.99,0.982,1.001,0.982,0.998,1.0,3323.0,-1.5002,2012-10-24 15:16:11,0
552,159920.SZ,20121025,0.998,1.005,0.998,1.002,792815.99,79425.1321,0.998,0.998,1.005,0.998,1.002,1.0,1611.0,-1.3391,2012-10-25 15:11:29,0
480,159920.SZ,20121026,1.004,1.004,0.996,0.998,602059.24,60208.1677,1.002,1.004,1.004,0.996,0.998,1.0,841.0,-1.0019,2012-10-26 15:11:39,0
1210,159920.SZ,20121029,0.997,0.997,0.992,0.995,1086580.59,108055.8375,0.998,0.997,0.997,0.992,0.995,1.0,1062.0,-1.0738,2012-10-29 15:11:01,0
596,159920.SZ,20121030,0.996,0.997,0.99,0.994,1370811.65,136228.3851,0.995,0.996,0.997,0.99,0.994,1.0,696.0,-1.183,2012-10-30 15:12:05,0
71,159920.SZ,20121031,0.995,1.0,0.995,0.999,630452.11,62889.7436,0.994,0.995,1.0,0.995,0.999,1.0,1195.0,-0.755,2012-10-31 15:10:39,0
1359,159920.SZ,20121101,0.998,1.003,0.995,1.002,366606.41,36687.2857,0.999,0.998,1.003,0.995,1.002,1.0,769.0,-1.0956,2012-11-01 15:10:44,0
717,159920.SZ,20121102,1.007,1.014,1.007,1.013,730911.59,73891.3618,1.002,1.007,1.014,1.007,1.013,1.0,1837.0,-0.7447,2012-11-02 15:11:06,0
732,159920.SZ,20121105,1.009,1.012,1.007,1.01,352923.55,35651.6809,1.013,1.009,1.012,1.007,1.01,1.0,523.0,-0.7078,2012-11-05 15:10:34,0
203,159920.SZ,20121106,1.01,1.01,1.003,1.006,187380.89,18838.1547,1.01,1.01,1.01,1.003,1.006,1.0,354.0,-0.691,2012-11-06 15:11:06,0
15,159920.SZ,20121107,1.006,1.009,1.0,1.006,288680.56,28983.5499,1.006,1.006,1.009,1.0,1.006,1.0,400.0,-1.1399,2012-11-07 15:11:16,0
279,159920.SZ,20121108,0.998,1.0,0.992,0.992,157358.11,15684.7786,1.006,0.998,1.0,0.992,0.992,1.0,326.0,-0.3316,2012-11-08 15:11:15,0
766,159920.SZ,20121109,0.989,0.989,0.981,0.982,74827.29,7351.9474,0.992,0.989,0.989,0.981,0.982,1.0,359.0,-0.3046,2012-11-09 15:10:41,0
883,159920.SZ,20121112,0.975,0.98,0.975,0.978,73058.08,7138.6517,0.982,0.975,0.98,0.975,0.978,1.0,285.0,-0.8114,2012-11-12 15:11:32,0
812,159920.SZ,20121113,0.977,0.977,0.967,0.969,121761.74,11810.5825,0.978,0.977,0.977,0.967,0.969,1.0,341.0,-0.6969,2012-11-13 15:12:07,0
1111,159920.SZ,20121114,0.968,0.976,0.968,0.975,104656.28,10174.7086,0.969,0.968,0.976,0.968,0.975,1.0,227.0,-1.0353,2012-11-14 15:11:55,0
581,159920.SZ,20121115,0.97,0.972,0.965,0.966,38009.06,3682.2648,0.975,0.97,0.972,0.965,0.966,1.0,154.0,-0.7806,2012-11-15 15:10:40,0
1406,159920.SZ,20121116,0.964,0.97,0.964,0.968,89042.57,8613.0147,0.966,0.964,0.97,0.964,0.968,1.0,203.0,-0.6364,2012-11-16 15:10:59,0
772,159920.SZ,20121119,0.969,0.974,0.967,0.97,104244.5,10118.3943,0.968,0.969,0.974,0.967,0.97,1.0,445.0,-0.9497,2012-11-19 15:11:01,0
226,159920.SZ,20121120,0.977,0.98,0.975,0.975,121403.01,11885.1095,0.97,0.977,0.98,0.975,0.975,1.0,747.0,-0.3577,2012-11-20 15:11:03,0
1181,159920.SZ,20121121,0.972,0.978,0.967,0.977,109141.86,10631.4619,0.975,0.972,0.978,0.967,0.977,1.0,370.0,-1.2832,2012-11-21 15:11:46,0
699,159920.SZ,20121122,0.98,0.989,0.98,0.988,118096.04,11649.3711,0.977,0.98,0.989,0.98,0.988,1.0,448.0,-1.0318,2012-11-22 15:10:49,0
1107,159920.SZ,20121123,0.989,0.995,0.989,0.995,66305.51,6586.2116,0.988,0.989,0.995,0.989,0.995,1.0,458.0,-1.0443,2012-11-23 15:11:38,0
1268,159920.SZ,20121126,0.997,1.001,0.993,0.994,61982.61,6180.3536,0.995,0.997,1.001,0.993,0.994,1.0,258.0,-1.1142,2012-11-26 15:10:36,0
1101,159920.SZ,20121127,0.994,1.0,0.994,0.995,72531.37,7229.7169,0.994,0.994,1.0,0.994,0.995,1.0,278.0,-0.7679,2012-11-27 15:10:51,0
165,159920.SZ,20121128,0.993,1.001,0.981,0.989,187350.33,18528.0342,0.995,0.993,1.001,0.981,0.989,1.0,411.0,-0.8124,2012-11-28 15:11:43,0
1134,159920.SZ,20121129,0.991,1.0,0.991,0.996,175388.46,17499.286,0.989,0.991,1.0,0.991,0.996,1.0,374.0,-1.0039,2012-11-29 15:11:06,0
969,159920.SZ,20121130,0.997,1.001,0.997,1.0,92223.38,9212.9797,0.996,0.997,1.001,0.997,1.0,1.0,405.0,-0.8428,2012-11-30 15:10:40,0
1396,159920.SZ,20121203,1.001,1.004,0.993,0.994,71032.39,7104.3933,1.0,1.001,1.004,0.993,0.994,1.0,0.0,-0.3509,2012-12-03 15:11:12,0
324,159920.SZ,20121204,0.979,0.991,0.976,0.99,53424.85,5266.3091,0.994,0.979,0.991,0.976,0.99,1.0,0.0,0.0606,2012-12-04 15:11:11,0
1343,159920.SZ,20121205,0.988,1.003,0.985,1.002,141118.24,14100.5723,0.99,0.988,1.003,0.985,1.002,1.0,0.0,-1.678,2012-12-05 15:11:15,0
1330,159920.SZ,20121206,1.004,1.011,1.0,1.01,254231.58,25612.4502,1.002,1.004,1.011,1.0,1.01,1.0,0.0,-0.7469,2012-12-06 15:11:28,0
1259,159920.SZ,20121207,1.009,1.012,1.005,1.008,150445.0,15177.2373,1.01,1.009,1.012,1.005,1.008,1.0,0.0,-0.8655,2012-12-07 15:10:45,0
1031,159920.SZ,20121210,1.007,1.012,1.003,1.005,117843.95,11890.1927,1.008,1.007,1.012,1.003,1.005,1.0,0.0,-1.3449,2012-12-10 15:10:52,0
1225,159920.SZ,20121211,1.006,1.007,1.001,1.006,66609.98,6692.4526,1.005,1.006,1.007,1.001,1.006,1.0,0.0,-1.4112,2012-12-11 15:12:30,0
304,159920.SZ,20121212,1.007,1.017,1.006,1.017,183185.44,18565.1093,1.006,1.007,1.017,1.006,1.017,1.0,0.0,-1.0604,2012-12-12 15:11:26,0
1540,159920.SZ,20121213,1.015,1.021,1.01,1.013,100554.11,10210.6887,1.017,1.015,1.021,1.01,1.013,1.0,0.0,-1.2189,2012-12-13 15:12:50,0
930,159920.SZ,20121214,1.014,1.02,1.008,1.017,187259.18,19014.7447,1.013,1.014,1.02,1.008,1.017,1.0,0.0,-1.5394,2012-12-14 15:11:12,0
825,159920.SZ,20121217,1.015,1.016,1.006,1.01,133890.37,13546.3579,1.017,1.015,1.016,1.006,1.01,1.0,0.0,-1.7223,2012-12-17 15:11:35,0
646,159920.SZ,20121218,1.01,1.016,1.008,1.012,151956.83,15388.9858,1.01,1.01,1.016,1.008,1.012,1.0,0.0,-1.5181,2012-12-18 15:11:31,0
1517,159920.SZ,20121219,1.012,1.023,1.01,1.017,201081.71,20479.9698,1.012,1.012,1.023,1.01,1.017,1.0,0.0,-1.5107,2012-12-19 15:11:30,0
178,159920.SZ,20121220,1.017,1.017,1.012,1.014,44059.95,4469.6338,1.017,1.017,1.017,1.012,1.014,1.0,0.0,-1.9342,2012-12-20 15:11:29,0
803,159920.SZ,20121221,1.012,1.014,1.008,1.01,83217.44,8407.6269,1.014,1.012,1.014,1.008,1.01,1.0,0.0,-1.684,2012-12-21 15:11:28,0
191,159920.SZ,20121224,1.008,1.011,1.007,1.008,23226.5,2346.9678,1.01,1.008,1.011,1.007,1.008,1.0,0.0,-2.1644,2012-12-24 15:11:17,0
320,159920.SZ,20121225,1.008,1.014,1.006,1.013,37835.94,3823.7394,1.008,1.008,1.014,1.006,1.013,1.0,0.0,-1.6982,2012-12-25 15:11:16,0
1038,159920.SZ,20121226,1.009,1.015,1.009,1.014,32498.72,3285.4096,1.013,1.009,1.015,1.009,1.014,1.0,0.0,-1.6107,2012-12-26 15:10:55,0
