,S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,TRADES_COUNT,DISCOUNT_RATE,OPDATE,OPMODE
954,511010.SH,20130325,99.5,99.5,98.814,99.408,46249.2,459291.069,99.841,99.5,99.5,98.814,99.408,1.0,,-0.4825,2013-03-25 15:08:55,0
320,511010.SH,20130326,99.4,99.7,99.4,99.649,29732.48,295845.576,99.408,99.4,99.7,99.4,99.649,1.0,2555.0,-0.2403,2013-03-26 15:07:55,0
901,511010.SH,20130327,99.648,99.697,99.591,99.625,37400.89,372601.398,99.649,99.648,99.697,99.591,99.625,1.0,1998.0,-0.2763,2013-03-27 15:07:45,0
152,511010.SH,20130328,99.63,99.74,99.604,99.731,47058.0,469093.468,99.625,99.63,99.74,99.604,99.731,1.0,2621.0,-0.2221,2013-03-28 15:07:55,0
117,511010.SH,20130329,99.73,99.836,99.72,99.833,23638.7,235947.972,99.731,99.73,99.836,99.72,99.833,1.0,2638.0,-0.128,2013-03-29 15:07:19,0
483,511010.SH,20130401,99.833,99.95,99.833,99.945,33907.27,338692.908,99.833,99.833,99.95,99.833,99.945,1.0,2152.0,-0.1519,2013-04-01 15:07:42,0
673,511010.SH,20130402,99.952,100.142,99.952,100.122,60449.74,604859.995,99.945,99.952,100.142,99.952,100.122,1.0,4826.0,-0.1207,2013-04-02 15:07:13,0
150,511010.SH,20130403,100.229,100.429,100.228,100.365,52188.57,523558.022,100.122,100.229,100.429,100.228,100.365,1.0,4497.0,0.0488,2013-04-03 15:07:34,0
1159,511010.SH,20130408,100.37,100.4,100.11,100.291,49017.28,491685.22,100.365,100.37,100.4,100.11,100.291,1.0,3872.0,-0.0528,2013-04-08 15:07:41,0
499,511010.SH,20130409,100.3,100.315,100.229,100.267,52027.28,521697.217,100.291,100.3,100.315,100.229,100.267,1.0,3544.0,-0.1076,2013-04-09 15:07:27,0
407,511010.SH,20130410,100.28,100.302,100.272,100.296,55964.4,561280.378,100.267,100.28,100.302,100.272,100.296,1.0,4305.0,-0.1603,2013-04-10 15:07:41,0
932,511010.SH,20130411,100.3,100.31,100.291,100.302,62331.05,625179.463,100.296,100.3,100.31,100.291,100.302,1.0,7058.0,-0.1265,2013-04-11 15:07:22,0
902,511010.SH,20130412,100.304,100.384,100.304,100.352,32170.67,322805.953,100.302,100.304,100.384,100.304,100.352,1.0,5003.0,-0.1274,2013-04-12 15:07:11,0
127,511010.SH,20130415,100.39,100.468,100.39,100.425,38669.96,388437.79,100.352,100.39,100.468,100.39,100.425,1.0,4725.0,-0.1342,2013-04-15 15:07:42,0
187,511010.SH,20130416,100.5,100.596,100.47,100.516,58424.87,587523.286,100.425,100.5,100.596,100.47,100.516,1.0,5463.0,-0.2372,2013-04-16 15:07:46,0
1082,511010.SH,20130417,100.57,100.68,100.543,100.601,69382.38,698103.713,100.516,100.57,100.68,100.543,100.601,1.0,7052.0,-0.0646,2013-04-17 15:07:40,0
1232,511010.SH,20130418,100.601,100.615,100.102,100.359,51255.48,514723.921,100.601,100.601,100.615,100.102,100.359,1.0,6685.0,-0.1939,2013-04-18 15:08:19,0
1347,511010.SH,20130419,100.216,100.29,100.0,100.11,47575.75,476159.154,100.359,100.216,100.29,100.0,100.11,1.0,6573.0,-0.4386,2013-04-19 15:08:06,0
216,511010.SH,20130422,100.065,100.09,99.831,99.859,45338.29,453540.667,100.11,100.065,100.09,99.831,99.859,1.0,6884.0,-0.5765,2013-04-22 15:08:19,0
